BFD	RA	Dec	Diameter	mag	HD	HIP	Name
16 Com	12.44980444	26.8257		4.98	108382	60746	
73 UMa	12.45975056	55.71272222		5.68	108502	60795	
sig Cen	12.46732833	-50.23063611		3.91	108483	60823	
u Cen	12.47290722	-39.04116944		5.45	108541	60855	
17 Com	12.47904556	25.89931667		6.63	108651	60891	
17 Com	12.48186194	25.91285		5.29	108662	60904	
18 Com	12.490845	24.108925		5.47	108722	60941	
20 Com	12.49534444	20.89610833		5.68	108765	60957	
7 del Crv	12.49777139	-16.5151		2.94	108767	60965	Algorab
74 UMa	12.49925833	58.40574167		5.37	108844	60978	
7 CVn	12.50078611	51.53563056		6.21	108845	60988	
75 UMa	12.50118333	58.767775		6.07	108861	60992	
4 Dra	12.50185083	69.20112778		5.01	108907	60998	
21 Com	12.5168225	24.56716944		5.47	108945	61071	
35 Cru	12.52786972	-59.42392222		5.49	108968	61136	
8 eta Crv	12.5345075	-16.19599722		4.3	109085	61174	
gam Mus	12.54111556	-72.13298611		3.84	109026	61199	
20 Vir	12.55079972	10.29567222		6.29	109217	61246	
5 kap Dra	12.55806611	69.78821111		3.85	109387	61281	
22 Com	12.55950556	24.28298611		6.28	109307	61295	
8 bet CVn	12.56237361	41.3575		4.24	109358	61317	Chara
21 q Vir	12.56298583	-9.452077778		5.48	109309	61318	
9 bet Crv	12.57312056	-23.39663611		2.65	109379	61359	Kraz
6 Dra	12.57889167	70.02176944		4.95	109551	61384	
23 Com	12.58085528	22.62924167		4.8	109485	61394	
BO Mus	12.58179139	-67.75689444		6.11	109372	61404	
24 Com	12.58509611	18.37711389		6.57	109510	61415	
24 Com	12.58548861	18.37705833		5.03	109511	61418	
25 f Vir	12.61315417	-5.831897222		5.88	109704	61558	
25 Com	12.61620361	17.08953611		5.7	109742	61571	
alf Mus	12.6197325	-69.13561389		2.69	109668	61585	
tau Cen	12.62837917	-48.54130556		3.85	109787	61622	
9 CVn	12.64618833	40.87466111		6.35	109980	61692	
26 Com	12.65203028	21.06255833		5.49	110024	61724	
26 chi Vir	12.65410194	-7.995561111		4.66	110014	61740	
l Cen	12.66459139	-39.98730278		4.63	110073	61789	
gam Cen	12.69195389	-48.95991111		2.2	110304	61932	
76 UMa	12.69275306	62.71303889		6.02	110462	61936	
27 Vir	12.69288694	10.42626667		6.22	110377	61937	
29 gam Vir	12.6943925	-1.449341667		2.74	110379	61941	Porrima
30 rho Vir	12.69807111	10.23563333		4.88	110411	61960	
39 Cru	12.69904667	-59.68582222		4.91	110335	61966	
31 d01 Vir	12.69919917	6.806613889		5.57	110423	61968	
28 Vir	12.69935778	-7.5003		6.81	110418	61969	
R Mus	12.70139583	-69.40755556		6.31	110311	61981	
w Cen	12.7098475	-48.81310556		4.66	110458	62012	
10 CVn	12.74983444	39.27891389		5.95	110897	62207	
Y CVn	12.75217472	45.44025		5.42	110914	62223	
32 d02 Vir	12.76029389	7.673325		5.22	110951	62267	
iot Cru	12.76056972	-60.98131944		4.69	110829	62268	
bet Mus	12.77135139	-68.10809444		3.04	110879	62322	
33 Vir	12.77292889	9.539694444		5.65	111028	62325	
27 Com	12.77743389	16.57768889		5.12	111067	62356	
34 Vir	12.78712278	11.95808611		6.11	111164	62394	
7 Dra	12.79287306	66.79030278		5.43	111335	62423	
35 Vir	12.79761472	3.572716667		6.42	111239	62443	
28 Com	12.80398222	13.55302778		6.47	111308	62478	
11 CVn	12.81161222	48.46683889		6.25	111421	62516	
29 Com	12.81505944	14.12258611		5.71	111397	62541	
30 Com	12.82151444	27.55238056		5.76	111469	62576	
p Cen	12.84476861	-33.99930833		4.9	111597	62683	
37 Vir	12.86024722	3.056786111		6.02	111765	62757	
31 Com	12.861645	27.54071667		4.93	111812	62763	
32 Com	12.87007167	17.07394444		6.32	111862	62807	
e Cen	12.88525167	-48.94331111		4.33	111915	62867	
38 Vir	12.88643278	-3.5531		6.11	111998	62875	
35 Com	12.88826306	21.24466667		4.89	112033	62886	
n Cen	12.89061056	-40.17886944		4.25	111968	62896	
kap Cru	12.89692167	-60.37623611		5.89	111973	62931	
41 Vir	12.89714194	12.41842222		6.25	112097	62933	
40 psi Vir	12.90587806	-9.538988889		4.77	112142	62985	
mu.01 Cru	12.90989611	-57.17791944		4.03	112092	63003	
mu.02 Cru	12.91024806	-57.16868333		5.08	112091	63005	
lam Cru	12.91088417	-59.14670278		4.62	112078	63007	
TU CVn	12.91570028	47.19671944		5.75	112264	63024	
iot Oct	12.91630444	-85.12338611		5.45	111482	63031	
8 Dra	12.92459639	65.438475		5.23	112429	63076	
43 del Vir	12.92672444	3.397475		3.39	112300	63090	Auva
12 alf02 CVn	12.93384222	38.31824722		2.89	112413	63125	Cor Caroli
RY Dra	12.94053167	65.99438889		6.63	112559	63152	
H Cen	12.95120944	-51.19875278		5.17	112409	63210	
36 Com	12.98206722	17.40944444		4.76	112769	63355	
44 k Vir	12.99431222	-3.811919444		5.79	112846	63414	
9 Dra	12.99863056	66.597275		5.37	113092	63432	
37 Com	13.00457528	30.78501667		4.88	112989	63462	
46 Vir	13.00998833	-3.368705556		5.99	112992	63494	
78 UMa	13.01210833	56.36633333		4.93	113139	63503	
38 Com	13.01933778	17.12314444		5.97	113095	63533	
47 eps Vir	13.03627722	10.95914722		2.85	113226	63608	Vindemiatrix
del Mus	13.03784778	-71.54885556		3.61	112985	63613	
ksi01 Cen	13.05925194	-49.52726389		4.83	113314	63724	
48 Vir	13.06511556	-3.663197222		6.62	113459	63750	
14 CVn	13.09568361	35.79885278		5.2	113797	63901	
f Cen	13.10463972	-48.46329722		4.71	113703	63945	
39 Com	13.10587944	21.15370833		6	113848	63948	
40 Com	13.10627889	22.61618611		5.53	113866	63950	
ksi02 Cen	13.1151775	-49.90624722		4.27	113791	64004	
41 Com	13.11964722	27.62474167		4.8	113996	64022	
49 Vir	13.13161444	-10.74040278		5.15	114038	64078	
the Mus	13.13532083	-65.305975		5.44	113904	64094	
g Vir	13.14235194	-8.984380556		5.57	114113	64122	
45 psi Hya	13.15090778	-23.11806389		4.94	114149	64166	
15 CVn	13.16167556	38.53387778		6.25	114376	64217	
50 Vir	13.16257778	-10.32932778		5.95	114287	64224	
51 the Vir	13.16583611	-5.538922222		4.38	114330	64238	
42 alf Com	13.16646861	17.52944167		4.32	114378	64241	Diadem
17 CVn	13.16756	38.49898056		5.91	114447	64246	
43 bet Com	13.19788722	27.87805		4.23	114710	64394	
53 Vir	13.20098389	-16.19855278		5.04	114642	64407	
54 Vir	13.22412028	-18.82640833		6.26	114846	64520	
55 Vir	13.23635972	-19.93096667		5.31	114946	64577	
56 Vir	13.245865	-10.37037778		6.95	115062	64625	
eta Mus	13.25415028	-67.89458611		4.79	114911	64661	
19 CVn	13.25887833	40.85521667		5.77	115271	64692	
57 Vir	13.26632556	-19.94309444		5.21	115202	64725	
59 e Vir	13.2795875	9.424152778		5.19	115383	64792	
r Cen	13.28142639	-31.50619722		5.1	115310	64803	
20 CVn	13.29237222	40.57261111		4.72	115604	64844	
60 sig Vir	13.29341194	5.469872222		4.78	115521	64852	
21 CVn	13.30403056	49.68206111		5.14	115735	64906	
61 Vir	13.30692667	-18.30866667		4.74	115617	64924	
46 gam Hya	13.31534917	-23.17141944		2.99	115659	64962	
23 CVn	13.3385975	40.15054722		5.6	116010	65072	
62 Vir	13.33888361	-11.30414444		6.73	115903	65074	
iot Cen	13.3432825	-36.71228889		2.75	115892	65109	
64 Vir	13.36935806	5.154766667		5.89	116235	65241	
J Cen	13.377205	-60.98840556		4.52	116087	65271	
63 Vir	13.38364278	-17.735275		5.36	116292	65301	
65 Vir	13.38858139	-4.924425		5.88	116365	65323	
m Cen	13.40013417	-64.53566667		4.52	116243	65387	
66 Vir	13.40922944	-5.164		5.76	116568	65420	
iot01 Mus	13.41864417	-74.88781944		5.04	116244	65468	
80 g UMa	13.42042667	54.98795556		3.99	116842	65477	Alcor
68 i Vir	13.44532417	-12.70766111		5.27	116870	65581	
iot02 Mus	13.45513833	-74.69175556		6.62	116579	65628	
69 Vir	13.45754556	-15.97358056		4.76	116976	65639	
70 Vir	13.47383611	13.77887222		4.97	117176	65721	
71 Vir	13.48694444	10.81831389		5.65	117304	65790	
K Cen	13.49034833	-51.16513611		5.04	117150	65810	
R Hya	13.49521778	-23.28132778		6.4	117287	65835	
72 Vir	13.50714583	-6.470269444		6.1	117436	65892	
d Cen	13.51740472	-39.40730556		3.9	117440	65936	
74 l Vir	13.53274583	-6.255808333		4.68	117675	66006	
73 Vir	13.53411278	-18.72887222		6.01	117661	66015	
75 Vir	13.54767833	-15.36301389		5.52	117789	66091	
76 h Vir	13.54946472	-10.16499722		5.21	117818	66098	
77 Vir	13.55681028	-7.622608333		7.12	117878	66131	
81 UMa	13.56870111	55.34844722		5.6	118214	66198	
78 o Vir	13.56887	3.658969444		4.92	118022	66200	
24 CVn	13.57423889	49.01597778		4.68	118232	66234	
y Vir	13.57790417	-13.21430833		5.92	118054	66247	
79 zet Vir	13.5782625	0		3.38	118098	66249	Heze
80 Vir	13.59202667	-5.3962		5.7	118219	66320	
25 CVn	13.62435917	36.29484167		4.82	118623	66458	
82 UMa	13.65845833	52.92120556		5.46	119024	66634	
1 Boo	13.67790694	19.95571389		5.73	119055	66727	
83 UMa	13.67896472	54.68163333		4.63	119228	66738	
kap Oct	13.68207917	-85.78604722		5.56	117374	66753	
2 Boo	13.68398528	22.49577222		5.63	119126	66763	
82 m Vir	13.69354889	-8.702983333		5.03	119149	66803	
Q Cen	13.6957675	-54.559375		4.99	118991	66821	
T Cen	13.69598972	-33.59737778		6.58	119090	66825	
84 Vir	13.71770444	3.537530556		5.35	119425	66936	
83 Vir	13.74161861	-16.179075		5.55	119605	67057	
85 Vir	13.75974083	-15.76746944		6.18	119786	67139	
1 i Cen	13.76145722	-33.04372222		4.23	119756	67153	
86 Vir	13.76562556	-12.42633889		5.5	119853	67172	
84 UMa	13.77657194	54.43268611		5.68	120198	67231	
M Cen	13.77760528	-51.43276389		4.64	119834	67234	
3 Boo	13.77870083	25.70223889		5.97	120064	67239	
z Cen	13.78232028	-36.25193056		5.15	119921	67244	
4 tau Boo	13.78770639	17.45689444		4.5	120136	67275	
87 Vir	13.79038667	-17.85983611		5.41	120052	67288	
2 g Cen	13.82408889	-34.45077222		4.19	120323	67457	
5 ups Boo	13.8246225	15.79790833		4.05	120477	67459	
nu. Cen	13.82507722	-41.68770556		3.41	120307	67464	
mu. Cen	13.82694111	-42.47372778		3.47	120324	67472	
6 e Boo	13.82856528	21.26410556		4.92	120539	67480	
89 Vir	13.83119	-18.13416667		4.96	120452	67494	
10 i Dra	13.85720556	64.72327222		4.58	121130	67627	
3 k Cen	13.86377139	-32.99406944		4.32	120709	67669	
N Cen	13.86801778	-52.81153333		5.26	120642	67703	
4 h Cen	13.88681694	-31.92761389		4.75	120955	67786	
7 Boo	13.886925	17.93286944		5.71	121107	67787	
y Cen	13.89241528	-35.66408889		5.53	120987	67819	
86 UMa	13.89750389	53.72867778		5.7	121409	67848	
8 eta Boo	13.91142028	18.39853333		2.68	121370	67927	Mufrid
90 p Vir	13.9117075	-1.503119444		5.16	121299	67929	
92 Vir	13.94107694	1.050580556		5.9	121607	68092	
9 Boo	13.94282806	27.49208056		5.02	121710	68103	
phi Cen	13.971185	-42.10075278		3.83	121743	68245	
47 Hya	13.97532667	-24.97218056		5.2	121847	68269	
10 Boo	13.97747917	21.69621667		5.76	121996	68276	
ups01 Cen	13.97798556	-44.80358611		3.87	121790	68282	
48 Hya	14.00003333	-25.01039722		5.77	122066	68390	
11 Boo	14.01957806	27.38659167		6.23	122405	68478	
93 tau Vir	14.0274425	1.544533333		4.23	122408	68520	
ups02 Cen	14.02875056	-45.60341667		4.34	122223	68523	
11 alf Dra	14.07317306	64.37581111		3.67	123299	68756	Thuban
the Aps	14.08885528	-76.79675833		5.69	122250	68815	
chi Cen	14.10076861	-41.17963333		4.36	122980	68862	
94 Vir	14.10493639	-8.891619444		6.54	123177	68888	
49 pi. Hya	14.10619361	-26.68236111		3.25	123123	68895	
5 the Cen	14.11137444	-36.36993333		2.06	123139	68933	Menkent
95 Vir	14.11189528	-9.313516667		5.46	123255	68940	
3 UMi	14.11565583	74.59378333		6.43	124063	68956	
13 Boo	14.13813944	49.45817222		5.26	123782	69068	
4 UMi	14.14748	77.54751389		4.8	124547	69112	
96 Vir	14.150165	-10.33454444		6.45	123630	69127	
12 d Boo	14.17331472	25.09168056		4.82	123999	69226	
50 Hya	14.21278444	-27.26118333		5.07	124206	69415	
98 kap Vir	14.21492917	-10.27370278		4.18	124294	69427	
17 kap02 Boo	14.22472417	51.78996389		4.53	124675	69483	Asellus Tertius
14 Boo	14.23477222	12.95944444		5.53	124570	69536	
15 Boo	14.2474575	10.10063611		5.29	124679	69612	
99 iot Vir	14.26691222	-5.999561111		4.07	124850	69701	Syrma
21 iot Boo	14.26942472	51.36723333		4.75	125161	69713	Asellus Secondus
19 lam Boo	14.27306083	46.08830556		4.18	125162	69732	
101 Vir	14.29123667	15.26337778		5.84	125180	69829	
A Boo	14.29994944	35.50950278		4.8	125351	69879	
eta Aps	14.30385917	-81.00775833		4.89	123998	69896	
CS Vir	14.31063694	-18.71588333		5.86	125248	69929	
100 lam Vir	14.31849778	-13.37109167		4.52	125337	69974	Kkhambaliya
18 Boo	14.32118917	13.00429722		5.41	125451	69989	
iot Lup	14.32339444	-46.05809722		3.55	125238	69996	
102 ups Vir	14.32568917	-2.265516667		5.14	125454	70012	
20 Boo	14.32923167	16.30695		4.84	125560	70027	
v Cen	14.33876194	-56.38649444		4.3	125288	70069	
psi Cen	14.34261972	-37.88529167		4.05	125473	70090	
eps Aps	14.3731025	-80.10894167		5.06	124771	70248	
a Cen	14.38395556	-39.51181667		4.41	125823	70300	
51 k Hya	14.38493722	-27.75401111		4.78	125932	70306	
2 Lib	14.39045167	-11.71403889		6.22	126035	70336	
23 the Boo	14.41994333	51.85074444		4.04	126660	70497	Asellus Primus
tau01 Lup	14.43561722	-45.22142222		4.56	126341	70574	
tau02 Lup	14.43633667	-45.37926944		4.33	126354	70576	
22 f Boo	14.44093472	19.22690278		5.4	126661	70602	
del Oct	14.44867556	-83.66788611		4.31	124882	70638	
104 Vir	14.45677361	-6.120333333		6.18	126722	70680	
5 UMi	14.45876167	75.69599444		4.25	127700	70692	
52 l Hya	14.4695675	-29.49158333		4.97	126769	70753	
105 phi Vir	14.47003833	-2.227952778		4.81	126868	70755	
24 g Boo	14.47717056	49.84485		5.58	127243	70791	
106 Vir	14.47825611	-6.900541667		5.42	126927	70794	
25 rho Boo	14.53049694	30.37143333		3.57	127665	71053	
27 gam Boo	14.53465417	38.30790278		3.04	127762	71075	Seginus
26 Boo	14.54237278	22.26005833		5.91	127739	71115	
sig Lup	14.54362694	-50.45716389		4.44	127381	71121	
28 sig Boo	14.57800472	29.74512222		4.47	128167	71284	
a Lup	14.622265	-46.13343056		5.39	128266	71500	
rho Lup	14.63145194	-49.42583056		4.05	128345	71536	
33 Boo	14.647285	44.4045		5.39	129002	71618	
29 pi.01 Boo	14.67876861	16.41834444		4.49	129174	71762	
30 zet Boo	14.68580833	13.72841111		3.78	129246	71795	
31 Boo	14.6940975	8.161761111		4.86	129312	71832	
32 Boo	14.6954225	11.66066389		5.55	129336	71837	
b Cen	14.69933083	-37.79349167		4.01	129116	71865	
alf Cir	14.70845	-64.97514444		3.18	128898	71908	
107 mu. Vir	14.71765667	-5.657444444		3.87	129502	71957	Rijl al Awwa
4 Lib	14.72043083	-24.99775278		5.7	129433	71974	
34 W Boo	14.72371194	26.52785278		4.8	129712	71995	
c01 Cen	14.72762222	-35.17364444		4.06	129456	72010	
36 eps Boo	14.74977222	27.07492778		2.35	129988	72105	Izar
c02 Cen	14.74977833	-35.19182778		4.92	129685	72104	
35 omi Boo	14.75401694	16.96427222		4.6	129972	72125	
108 Vir	14.75839028	0		5.68	129956	72154	
5 Lib	14.76604389	-15.45954167		6.33	129978	72194	
54 m Hya	14.76668889	-25.44316944		5.15	129926	72197	
109 Vir	14.77081222	1.892883333		3.73	130109	72220	
b Lup	14.78369306	-52.38351667		5.22	129893	72290	
55 Hya	14.78959889	-25.62426389		5.61	130158	72323	
56 Hya	14.79577972	-26.0875		5.23	130259	72357	
alf Aps	14.79769667	-79.04475		3.83	129078	72370	
57 Hya	14.79932167	-26.64615278		5.76	130274	72378	
38 h Boo	14.82185278	46.11620556		5.76	130945	72487	Merga
7 mu. Lib	14.82195722	-14.14904444		5.32	130559	72489	
39 Boo	14.82813667	48.72079722		5.68	131041	72524	
58 E Hya	14.83818222	-27.960225		4.42	130694	72571	
8 alf01 Lib	14.84479389	-15.9971		5.15	130819	72603	
7 bet UMi	14.84510861	74.155475		2.07	131873	72607	Kocab
9 alf02 Lib	14.84797611	-16.041775		2.75	130841	72622	Zuben Elgenubi
11 Lib	14.85029806	-2.299152778		4.93	130952	72631	
37 ksi Boo	14.85646833	19.100625		4.54	131156	72659	
omi Lup	14.86063944	-43.57535556		4.32	130807	72683	
12 Lib	14.90559167	-24.64220556		5.27	131430	72929	
13 ksi01 Lib	14.90635361	-11.89834722		5.78	131530	72934	
zet Cir	14.91182806	-65.99109167		6.09	131058	72965	
c Lup	14.93812583	-52.80955		5.38	131562	73095	
the Cir	14.94555222	-62.78101111		5.08	131492	73129	
15 ksi02 Lib	14.94614194	-11.40970278		5.48	131918	73133	
8 UMi	14.94676472	74.90092222		6.83	133086	73136	
16 Lib	14.953055	-4.346447222		4.47	132052	73165	
1 M Ser	14.95923639	0		5.51	132132	73193	
RR UMi	14.95972361	65.93246389		4.63	132813	73199	
R Aps	14.96471778	-76.66265556		5.37	131109	73223	
17 Lib	14.97039222	-11.15476111		6.61	132230	73249	
bet Lup	14.975535	-43.13395833		2.68	132058	73273	
59 Hya	14.97757111	-27.65725556		5.65	132219	73284	
18 Lib	14.98155	-11.14401111		5.88	132345	73310	
kap Cen	14.98602306	-42.10420278		3.13	132200	73334	
40 Boo	14.99359639	39.26533611		5.64	132772	73369	
9 UMi	15.00748722	71.76545556		6.64	133621	73440	
19 del Lib	15.01620806	-8.518944444		4.91	132742	73473	Zuben Elakribi
2 Ser	15.03025778	0		5.71	132933	73536	
pi.01 Oct	15.03077833	-83.22764722		5.65	130650	73540	
42 bet Boo	15.03243389	40.39056944		3.49	133208	73555	Nekkar
60 Hya	15.03512111	-28.06061389		5.83	132851	73566	
41 ome Boo	15.03514111	25.00813889		4.8	133124	73568	
110 Vir	15.04834417	2.091302778		4.39	133165	73620	
44 i Boo	15.06313917	47.65404167		4.83	133640	73695	
20 sig Lib	15.0678375	-25.28196111		3.25	133216	73714	Brachium
43 psi Boo	15.074095	26.94765		4.52	133582	73745	
pi.02 Oct	15.07970056	-83.03831111		5.65	131246	73771	
eta Cir	15.08005167	-64.03135		5.16	132905	73776	
pi. Lup	15.08530194	-47.05126111		3.91	133242	73807	
47 k Boo	15.09050944	48.15097222		5.59	133962	73841	
21 nu. Lib	15.11044333	-16.25681389		5.19	133774	73945	Zuben Hakrabi
22 Lib	15.11362806	-16.48436111		6.41	133800	73953	
45 c Boo	15.121685	24.86919722		4.93	134083	73996	
46 b Boo	15.13993972	26.30114722		5.67	134320	74087	
lam Lup	15.14739444	-45.27984444		4.07	133955	74117	
ome Oct	15.18578278	-84.78781667		5.88	131596	74296	
kap01 Lup	15.19890944	-48.73781944		3.88	134481	74376	
kap02 Lup	15.19935167	-48.74370278		5.7	134482	74380	
24 iot Lib	15.20369722	-19.79163333		4.54	134759	74392	
zet Lup	15.20474889	-52.09924722		3.41	134505	74395	
e Lup	15.213775	-44.50041944		4.83	134687	74449	
25 Lib	15.22199667	-19.64755833		6.07	134967	74493	
23 Lib	15.22462972	-25.30934444		6.47	134987	74500	
48 chi Boo	15.24143306	29.16429444		5.28	135502	74596	
26 Lib	15.24271056	-17.76857222		6.18	135230	74600	
1 i Lup	15.2437	-31.519125		4.91	135153	74604	
3 Ser	15.25315361	4.939361111		5.32	135482	74649	
49 del Boo	15.25837861	33.31483056		3.46	135722	74666	Printseps
4 Ser	15.26363278	0		5.62	135559	74689	
del Cir	15.28247056	-60.95725556		5.04	135240	74778	
27 bet Lib	15.28346361	-9.382869444		2.61	135742	74785	Zuben Elschemali
11 UMi	15.28497028	71.82389722		5.02	136726	74793	Pherkad Minor
bet Cir	15.29193194	-58.80089444		4.07	135379	74824	
eps Cir	15.29413694	-63.61046667		4.85	135291	74837	
2 f Lup	15.29717722	-30.14867778		4.35	135758	74857	
mu. Lup	15.30887389	-47.87508889		4.27	135734	74911	
gam TrA	15.31516222	-68.67954444		2.87	135382	74946	
5 Ser	15.32188833	1.765430556		5.04	136202	74975	
1 omi CrB	15.33571083	29.61621111		5.51	136512	75049	
13 gam UMi	15.34548556	71.83397778		3	137422	75097	Pherkad
28 Lib	15.34824389	-18.15866111		6.16	136366	75110	
29 omi Lib	15.35038278	-15.54833611		6.14	136407	75118	
6 Ser	15.35055472	0		5.35	136514	75119	
del Lup	15.35620167	-40.64750833		3.22	136298	75141	
14 UMi	15.35841139	73.47661111		7.52	137686	75152	
nu.02 Lup	15.36337528	-48.317625		5.65	136352	75181	
phi01 Lup	15.36343611	-36.26136944		3.57	136422	75177	
50 Boo	15.36349306	32.93369444		5.38	136849	75178	
nu.01 Lup	15.36896389	-47.92778889		4.99	136351	75206	
7 Ser	15.37312167	12.56752222		6.29	136831	75230	
eps Lup	15.37802028	-44.68962778		3.37	136504	75264	
30 Lib	15.38382889	-15.13403611		6.46	136801	75294	
phi02 Lup	15.38593083	-36.85848889		4.54	136664	75304	
2 eta CrB	15.38673083	30.28821111		4.99	137107	75312	
gam Cir	15.38962694	-59.32070278		4.48	136415	75323	
8 Ser	15.39547528	-1.022386111		6.11	137006	75342	
31 eps Lib	15.40330194	-10.32225278		4.92	137052	75379	
51 mu.01 Boo	15.40817444	37.37717222		4.31	137391	75411	Alkalurops
51 mu.02 Boo	15.40857194	37.34730556		6.51	137392	75415	
ups Lup	15.41250194	-39.71025278		5.36	136933	75439	
12 iot Dra	15.41549278	58.96606111		3.29	137759	75458	Edasich
k Lup	15.4222825	-38.733625		4.6	137058	75501	
9 tau01 Ser	15.42983222	15.42803889		5.16	137471	75530	
3 bet CrB	15.46381444	29.10569722		3.66	137909	75695	Nusakan
32 Lib	15.47094639	-16.71648056		5.64	137744	75730	
10 Ser	15.47728806	1.842086111		5.15	137898	75761	
pi.01 UMi	15.48644417	80.44860278		6.57	139777	75809	
pi.01 UMi	15.48988139	80.45026667		7.53	139813	75829	
33 Lib	15.49298361	-17.44094167		6.69	137949	75848	
34 Lib	15.51122333	-16.60946389		5.82	138137	75944	
52 nu.01 Boo	15.51548833	40.83304722		5.04	138481	75973	
15 the UMi	15.52359056	77.34936111		5	139669	76008	
kap01 Aps	15.52522833	-73.38958611		5.4	137387	76013	
53 nu.02 Boo	15.52971611	40.89933611		4.98	138629	76041	
12 tau02 Ser	15.53602083	16.05616667		6.22	138527	76069	
35 zet Lib	15.54867278	-16.85284167		5.53	138485	76126	
4 the CrB	15.54882833	31.35913056		4.14	138749	76127	
11 A01 Ser	15.54942694	-1.1864		5.5	138562	76133	
37 Lib	15.56963944	-10.06451667		4.61	138716	76219	
36 Lib	15.5770325	-28.04699167		5.13	138688	76259	
13 del Ser	15.58004083	10.53888889		3.8	138917	76276	
gam Lup	15.58566639	-41.166775		2.8	138690	76297	
6 mu. CrB	15.5874775	39.01006667		5.14	139153	76307	
38 gam Lib	15.59209472	-14.78955278		3.91	138905	76333	Zuben Elakrab
15 tau03 Ser	15.59256361	17.65555833		6.1	139074	76337	
d Lup	15.59812417	-44.95839444		4.55	138769	76371	
17 tau04 Ser	15.60782944	15.10142222		6.51	139216	76423	
18 tau05 Ser	15.6081225	16.11908611		5.93	139225	76424	
16 Ser	15.60821639	10.01017222		5.26	139195	76425	
14 Ser	15.60936361	0		6.51	139137	76427	
eps TrA	15.61200611	-66.31703889		4.11	138538	76440	
39 ups Lib	15.61706944	-28.135075		3.6	139063	76470	
54 phi Boo	15.63044417	40.35343333		5.25	139641	76534	Ceginus
ome Lup	15.63422306	-42.56735		4.34	139127	76552	
40 tau Lib	15.64427306	-29.77769167		3.66	139365	76600	
41 Lib	15.64848917	-19.30188611		5.36	139446	76628	
7 zet01 CrB	15.65630056	36.63582778		6	139891	76669	
7 zet02 CrB	15.65630056	36.63582778		5.07	139892	76669	
pi.02 UMi	15.66073333	79.98325833		6.89	141652	76695	
3 psi01 Lup	15.66277139	-34.41192222		4.66	139521	76705	
42 Lib	15.67136	-23.81808333		4.97	139663	76742	
kap02 Aps	15.67259222	-73.44668611		5.64	138800	76750	
19 tau06 Ser	15.68308333	16.02458611		6	140027	76810	
g Lup	15.68649361	-44.66118333		4.64	139664	76829	
21 iot Ser	15.69251528	19.67040556		4.51	140159	76852	
20 chi Ser	15.69650444	12.84753056		5.34	140160	76866	
22 tau07 Ser	15.69853167	18.46403056		5.8	140232	76878	
43 kap Lib	15.69911	-19.67882222		4.75	139997	76880	
h Lup	15.71064333	-37.42493333		5.23	139980	76939	
4 psi02 Lup	15.71139444	-34.7104		4.75	140008	76945	
8 gam CrB	15.71238139	26.295625		3.81	140436	76952	
rho Oct	15.72137167	-84.46527222		5.57	137333	76996	
9 pi. CrB	15.73313917	32.51580833		5.57	140716	77048	
23 psi Ser	15.73383833	2.515175		5.86	140538	77052	
16 zet UMi	15.73429583	77.7945		4.29	142105	77055	
44 eta Lib	15.73455528	-15.67282778		5.41	140417	77060	
24 alf Ser	15.7377775	6.425522222		2.63	140573	77070	Unukalhai
26 tau08 Ser	15.74503667	17.26422778		6.15	140729	77111	
25 A02 Ser	15.76823278	-1.804188889		5.39	140873	77227	
28 bet Ser	15.76979306	15.42181944		3.65	141003	77233	
27 lam Ser	15.77405917	7.353075		4.42	141004	77257	
31 ups Ser	15.78814417	14.11536111		5.71	141187	77336	
R CrB	15.80955972	28.15674444		5.89	141527	77442	
35 kap Ser	15.81232694	18.14156667		4.09	141477	77450	
30 Ser	15.81577722	-3.818513889		5.53	141378	77464	
10 del CrB	15.82656861	26.06838889		4.59	141714	77512	
32 mu. Ser	15.82701722	-3.430141667		3.54	141513	77516	
34 ome Ser	15.8382075	2.196513889		5.21	141680	77578	
37 eps Ser	15.84693528	4.477727778		3.71	141795	77622	
5 chi Lup	15.84931583	-33.62716944		3.97	141556	77634	
1 b Sco	15.84965111	-25.75129167		4.63	141637	77635	
11 kap CrB	15.85387	35.65738333		4.79	142091	77655	
36 b Ser	15.85433194	-3.090491667		5.09	141851	77660	
38 rho Ser	15.85441917	20.97791944		4.74	141992	77661	
1 chi Her	15.87792861	42.45152778		4.6	142373	77760	
39 Ser	15.88669389	13.19665556		6.07	142267	77801	
45 lam Lib	15.88890583	-20.16699722		5.04	142096	77811	
2 A Sco	15.89349167	-25.32709167		4.59	142114	77840	
46 the Lib	15.89709389	-16.72930833		4.13	142198	77853	
2 Her	15.91051389	43.13856667		5.35	142780	77907	
3 Sco	15.91098028	-25.24373611		5.87	142301	77909	
40 Ser	15.9111875	8.580336111		6.28	142500	77910	
47 Lib	15.91676917	-19.38292222		5.95	142378	77939	
bet TrA	15.91910972	-63.42979444		2.83	141891	77952	
kap TrA	15.92488917	-68.603		5.11	141767	77982	
4 Sco	15.92502139	-26.26598611		5.63	142445	77984	
4 Her	15.92516417	42.56619444		5.73	142926	77986	
12 lam CrB	15.92988528	37.94695556		5.43	142908	78012	
41 gam Ser	15.94083472	15.66459444		3.85	142860	78072	
5 rho Sco	15.94807639	-29.21406944		3.87	142669	78104	
ksi01 Lup	15.94819167	-33.96610833		5.14	142629	78105	
ksi02 Lup	15.94836556	-33.96426389		5.59	142630	78106	
